OBJECTID,GEOID,CIscore,HazScore,HealthScore,SVscore,CCVscore,Shape__Area,Shape__Length
516,6037406601,8,1,2,2,3,2875948.699,6857.838162
517,6037406402,7,1,2,2,2,1428803.809,5860.239212
518,6037406800,11,2,3,2,4,2547886.012,9094.893952
519,6037400604,10,4,2,2,2,7073859.441,16849.74877
520,6037404501,10,3,1,3,3,1175789.848,5171.445537
521,6037408134,9,2,3,3,1,1290004.703,4482.227407
522,6037602900,16,4,5,4,3,4073523.184,10024.62308
523,6037602301,12,5,4,2,1,2591403.871,7088.736886
524,6037603704,16,5,4,5,2,939466.2227,3877.077671
525,6037620001,10,5,3,1,1,1725839.289,5407.056684
526,6037600302,13,3,5,3,2,1185468.82,4385.296174
527,6037603703,12,5,4,2,1,949196.6406,3998.695768
528,6037603900,12,5,2,4,1,2169935.664,7802.541537
529,6037603600,7,1,2,2,2,1362310.426,4817.393812
530,6037106114,12,3,2,4,3,1487094.625,6355.235859
531,6037222500,14,2,4,4,4,952975.6367,3905.027865
532,6037187300,11,4,5,1,1,1709260.695,7141.782831
533,6037222700,17,5,5,3,4,1199387.793,4995.894163
534,6037224010,20,5,5,5,5,1208390.934,5110.454462
535,6037224020,18,3,5,5,5,1795189.262,5602.814706
536,6037224410,18,4,5,4,5,655493.6758,3879.11306
537,6037181300,11,4,3,2,2,2103940.289,7886.803483
538,6037224320,20,5,5,5,5,423155.7031,3109.169236
539,6037187200,16,5,4,3,4,1396212.977,5723.700348
540,6037224310,20,5,5,5,5,260472.2852,2487.041298
541,6037115104,8,1,1,2,4,1490471.836,7499.262403
542,6037113102,5,1,1,1,2,5388101.398,9214.526932
543,6037113101,6,2,1,1,2,3334594.113,7833.559389
544,6037111206,7,2,1,2,2,3848770.18,8883.670697
545,6037109604,11,3,2,3,3,1722965.734,5296.826414
546,6037109603,9,2,2,3,2,1465599.707,4954.251467
547,6037106648,12,5,1,4,2,1167471.57,5037.688567
548,6037106408,14,4,2,4,4,335617.5391,2326.153583
549,6037106407,15,3,2,5,5,339985.5625,2340.694089
550,6037106405,10,2,1,4,3,1717776.238,5354.698505
551,6037104821,8,1,1,4,2,779584.5039,4173.470303
552,6037104704,11,4,1,4,2,2434680.398,6261.653329
553,6037104703,13,5,1,5,2,1717635.309,5666.567032
554,6037104404,11,2,2,5,2,792029.9531,4037.620564
555,6037104124,8,2,2,2,2,6576797.094,14469.0483
556,6037900102,11,1,2,3,5,653405572.4,119304.9587
557,6037910201,15,4,2,4,5,21551870.26,21360.605
558,6037910302,9,2,1,2,4,6136505.434,11278.78269
559,6037910402,16,4,2,5,5,1681459.004,5352.833202
560,6037910403,15,5,1,5,4,1865194.816,5943.823477
561,6037910501,15,3,2,5,5,2216654.402,6208.582503
562,6037910601,13,1,2,5,5,3921570.855,9981.66196
563,6037910502,13,1,2,5,5,2967100.23,6961.927228
564,6037910401,9,1,2,2,4,14482445.05,15535.36303
565,6037910603,12,2,1,4,5,3890110.621,7869.868852
566,6037531301,19,5,5,5,4,1150889.918,5609.490086
567,6037531603,16,3,5,4,4,635917.6094,3222.380871
568,6037531701,15,1,5,4,5,927019.4492,4233.164438
569,6037531604,16,1,5,5,5,538178.4609,2978.013916
570,6037531800,15,2,5,4,4,904348.2344,4804.283585
571,6037531702,19,4,5,5,5,975728.7773,4473.541936
572,6037531902,16,2,5,5,4,1032919.441,4159.81965
573,6037531901,16,1,5,5,5,1131067.996,4399.063886
574,6037106643,4,1,1,1,1,6358711.195,12071.16209
575,6037482600,11,1,5,3,2,4145861.277,9047.972459
576,6037134306,13,5,1,3,4,909181.9336,3815.194187
577,6037482800,13,2,5,4,2,4625087.418,11230.04136
578,6037431001,8,3,1,2,2,2575990.949,8421.889382
579,6037460100,5,1,1,1,2,8313861.625,16402.9769
580,6037432401,14,3,3,4,4,1528548.09,6810.534151
581,6037408629,10,4,3,2,1,2558458.418,7262.270857
582,6037404703,16,4,5,5,2,1916886.465,8673.880124
583,6037121900,13,4,3,4,2,2468412.297,7415.59315
584,6037122410,17,5,3,5,4,1034868.93,4102.831217
585,6037123010,15,4,3,5,3,1487312.332,5031.352913
586,6037122420,15,5,3,4,3,1264083.223,4572.552625
587,6037123020,13,4,3,4,2,828087.0234,3641.137942
588,6037123205,16,5,3,4,4,1110404.605,4256.153651
589,6037123203,16,5,3,5,3,858881.9297,4708.222491
590,6037123204,14,5,2,4,3,475032.4531,2926.711333
591,6037123520,10,3,2,3,2,749335.1367,4604.009002
592,6037123304,16,4,3,4,5,1287008.352,4954.525704
593,6037123303,13,4,2,3,4,928560.6016,4813.175753
594,6037123410,16,5,2,4,5,725392.7461,3504.10839
595,6037123301,14,5,3,3,3,1920161.273,6529.173668
596,6037900300,10,1,2,3,4,87470092.11,46389.04708
597,6037301300,7,1,2,1,3,1703575.145,7279.129873
598,6037301203,10,2,2,2,4,795784.7305,3874.035278
599,6037700400,11,3,4,1,3,1919985.703,7834.204841
600,6037127220,16,4,2,5,5,954920.4297,3909.093725
601,6037702400,11,4,5,1,1,2928409.762,8872.795677
602,6037702801,12,4,4,2,2,1743258.457,5510.91112
603,6037186401,18,3,5,5,5,1408425.418,6585.075901
604,6037187102,16,5,5,3,3,3185259.422,14141.19904
605,6037189300,8,2,3,1,2,2787694.047,9468.555638
606,6037123420,14,4,2,4,4,1153855.234,5438.59702
